6.543311048002209418e-02,1.040736249100824296e+00,1.847846214254182939e+00,2.720197434065163122e+00,3.538708824798924013e+00,4.345344211535767442e+00,5.138013589039324813e+00,5.905017087769827810e+00,6.808744007159098999e+00,7.634545893149287110e+00,8.400752602545672687e+00,9.248914164444180130e+00,1.013262519364334224e+01,1.092261825432020572e+01,1.198741524575020634e+01,1.284604457427362689e+01,1.389153632346985745e+01,1.460226962087076430e+01,1.566692341819523193e+01,1.648279253163538982e+01
2.722521916693594335e-01,1.247559043975478232e+00,2.054668864441531184e+00,2.927018937820172084e+00,3.745528596480561134e+00,4.552161902088890599e+00,5.344829081651845115e+00,6.111830594429441987e+00,7.015552609174186216e+00,7.841351332149564257e+00,8.607556078756907425e+00,9.455714494870584019e+00,1.033942232277259876e+01,1.112941420077728338e+01,1.219420765254070460e+01,1.305283837648939738e+01,1.409833604281774200e+01,1.480907074193319062e+01,1.587373593633278546e+01,1.668960797876226110e+01
4.790715967954710663e-01,1.454381871015776539e+00,2.261491426174323749e+00,3.133840184585402255e+00,3.952348010929732425e+00,4.758979161856835560e+00,5.551644094831054588e+00,6.318643595795684575e+00,7.222360673743047244e+00,8.048156256838375100e+00,8.814359072333182610e+00,9.662514413701522642e+00,1.054621915748841587e+01,1.133620993148169731e+01,1.240100020292717176e+01,1.325963245154294867e+01,1.430513630302444739e+01,1.501587241047777610e+01,1.608054901494542577e+01,1.689642390203012923e+01
6.858913052551187661e-01,1.661204706871693304e+00,2.468313877329499917e+00,3.340661155308474406e+00,4.159167052438384360e+00,4.965795978761569529e+00,5.758458620088980240e+00,6.525456086470079242e+00,7.429168202815695565e+00,8.254960673504307067e+00,9.021161592090230386e+00,9.869313933602960276e+00,1.075301571393494982e+01,1.154300546351955603e+01,1.260779291562359816e+01,1.346642681494559923e+01,1.451193710874749598e+01,1.522267462913602998e+01,1.628736264057581451e+01,1.710324028461976553e+01
8.927112961656789025e-01,1.868027528345770349e+00,2.675136196096865149e+00,3.547481831466448909e+00,4.365985705947103668e+00,5.172612341450154361e+00,5.965272649702818342e+00,6.732268061827220151e+00,7.635975199097934762e+00,8.461764589119319169e+00,9.227963647456157048e+00,1.007611306771163839e+01,1.095981200852380510e+01,1.174980081412356725e+01,1.281458580896175903e+01,1.367322148167632889e+01,1.471873846384246320e+01,1.542947739974928112e+01,1.649417679910296641e+01,1.005710919244862112e-02
1.099531548397656877e+00,2.074850312424040055e+00,2.881958361009388625e+00,3.754302195091348437e+00,4.572803957061886138e+00,5.379428239305376280e+00,6.172086176719311368e+00,6.939079518019831028e+00,7.842781666041410915e+00,8.668568011318789956e+00,9.434765248449785702e+00,1.028291182961427097e+01,1.116660805791078559e+01,1.195659600064683303e+01,1.302137890086830652e+01,1.388001646616626061e+01,1.492554037136451228e+01,1.563628072336822328e+01,1.670099147576419085e+01,2.168743579154899237e-01
1.306352040604700449e+00,2.281673036308369262e+00,3.088780350971852329e+00,3.961122228791360556e+00,4.779621792070734898e+00,5.586243662455522951e+00,6.378899194959863905e+00,7.145890451975752455e+00,8.049587607832357605e+00,8.875370948389011971e+00,9.641566405664512729e+00,1.048971023332077124e+01,1.137340387896701799e+01,1.216339104053647446e+01,1.322817220884368083e+01,1.408681178228081166e+01,1.513234283357027010e+01,1.584308460026172583e+01,1.690780665518152404e+01,4.236920124925269704e-01
1.513172751255659421e+00,2.488495677445961007e+00,3.295602145287681140e+00,4.167941915771130823e+00,4.986439197958155489e+00,5.793058601784274231e+00,6.585711699024635379e+00,7.352700861396975540e+00,8.256393029381023041e+00,9.082173409248262885e+00,9.848367130247162038e+00,1.069650829324407226e+01,1.158019948875422500e+01,1.237018595130822263e+01,1.343496574994068027e+01,1.429360744330718802e+01,1.533914585192197677e+01,1.604988902992075595e+01,1.711462232138611483e+01,6.305100541903563283e-01
1.719993658664428438e+00,2.695318213561698428e+00,3.502423723686796109e+00,4.374761239853249606e+00,5.193256162420617272e+00,5.999873048939058151e+00,6.792523684293108488e+00,7.559510744756799738e+00,8.463197936307970792e+00,9.288975403428956668e+00,1.005516743387638456e+01,1.090330602417346739e+01,1.178699490449744047e+01,1.257698075052123698e+01,1.364175954074485020e+01,1.450040346194028729e+01,1.554594942709032779e+01,1.625669401106394929e+01,2.143845784607734117e-02,8.373284638683777814e-01
1.926814741023257227e+00,2.902140622686566473e+00,3.709245066350227660e+00,4.581580185496783031e+00,5.400072673877524210e+00,6.206686996335768924e+00,6.999335146926931372e+00,7.766320101298354928e+00,8.670002334929755250e+00,9.495776941058828413e+00,1.026196732874327466e+01,1.111010344125062232e+01,1.199379014356164674e+01,1.278377545575246899e+01,1.384855359735544056e+01,1.470719985026939725e+01,1.575275355896072682e+01,1.646349954164846707e+01,2.282550474921869466e-01,1.044147222007016040e+00
2.133635976433730264e+00,3.108962883187267323e+00,3.916066153937627803e+00,4.788398737815462880e+00,5.606888721484061477e+00,6.413500437166895551e+00,7.206146083867473351e+00,7.973128931027837041e+00,8.876806232245108674e+00,9.702578032841834954e+00,1.046876682752778009e+01,1.131690055994513244e+01,1.220058522342312557e+01,1.299057008457102569e+01,1.405534793536318006e+01,1.491399661976500823e+01,1.595955824663885636e+01,1.667030561887533935e+01,4.350720727437398239e-01,1.250966308739837274e+00
2.340457342936041130e+00,3.315784973795722124e+00,4.122886967610234876e+00,4.995216882595137520e+00,5.813704295141711498e+00,6.620313365403738715e+00,7.412956492835995448e+00,8.179937234708766880e+00,9.083609635919422942e+00,9.909378690036156456e+00,1.067556594337835207e+01,1.152369739603081911e+01,1.240738016164427648e+01,1.319736465451310181e+01,1.426214256983845274e+01,1.512079378127119611e+01,1.616636348845835158e+01,1.687711223920140213e+01,6.418895155395354379e-01,1.457785703880322359e+00
2.547278818542643819e+00,3.522606873634991587e+00,4.329707489055145686e+00,5.202034606309915432e+00,6.020519385508883659e+00,6.827125775800048757e+00,7.619766372331149284e+00,8.386745013857158426e+00,9.290412554267014400e+00,1.011617892443577915e+01,1.088236468988551309e+01,1.173049396555770585e+01,1.261417497584871938e+01,1.340415918305702547e+01,1.446893751531049332e+01,1.532759134499175246e+01,1.637316928199035004e+01,1.708391939834861972e+01,8.487073573628869383e-01,1.664605386954722377e+00
2.754100381268493436e+00,3.729428562249459844e+00,4.536527700509303429e+00,5.408851896136035009e+00,6.227333984006143908e+00,7.033937663894072045e+00,7.826575721625566473e+00,8.593552270731514398e+00,9.497214996235832984e+00,1.032297874834826956e+01,1.108916308106264381e+01,1.193729028482882626e+01,1.282096968369395285e+01,1.361095368760143032e+01,1.467573278575232365e+01,1.553438932048461396e+01,1.657997562404934655e+01,1.729072709131579444e+01,1.055525579273339787e+00,1.871425337230991914e+00
2.960922009161514268e+00,3.936250019628481311e+00,4.743347584779108672e+00,5.615668739967098588e+00,6.434148082826446569e+00,7.240749026010540490e+00,8.033384540760003745e+00,8.800359008323901833e+00,9.704016971388078616e+00,1.052977817457215082e+01,1.129596113132051727e+01,1.214408637037390548e+01,1.302776430284628617e+01,1.381774818543768646e+01,1.488252839456705345e+01,1.574118771665140315e+01,1.678678251070666505e+01,1.975353123928336174e-01,1.262344161932421827e+00,2.078245533750450846e+00
3.167743680333977352e+00,4.143071226234063431e+00,4.950167125263099877e+00,5.822485126424759017e+00,6.640961674938488102e+00,7.447559859257431469e+00,8.240192830537544921e+00,9.007165230350800300e+00,9.910818489881556559e+00,1.073657721637473372e+01,1.150275885544154875e+01,1.235088223892412174e+01,1.323455885095730622e+01,1.402454269372801576e+01,1.508932435457349897e+01,1.594798654173037988e+01,1.699358993729938305e+01,4.043440551706432018e-01,1.469163085637180899e+00,2.285065955357627132e+00
3.374565372992854861e+00,4.349892163024797753e+00,5.156986305971507534e+00,6.029301044871395732e+00,6.847774754093300942e+00,7.654370161526763638e+00,8.447000592518598694e+00,9.213970941242074275e+00,1.011761956244927063e+01,1.094337588746812884e+01,1.170955626855893428e+01,1.255767790738459411e+01,1.344135334563670625e+01,1.423133722948190183e+01,1.529612067799066466e+01,1.615478580329251912e+01,1.720039789844437195e+01,6.111533125572670144e-01,1.675982330345821225e+00,2.491886580730383827e+00
