rho,N,mode,b,mean_velocity,seed
2.658959537572254,46,remote,0.56,0.0,12569
2.7167630057803467,47,hard,0.0,0.22108923415779128,12570
2.7167630057803467,47,hard,0.56,0.006783863858426636,12571
2.7167630057803467,47,hard,1.06,0.0031285535497128985,12572
2.7167630057803467,47,remote,0.0,0.0,12573
2.7167630057803467,47,remote,0.56,0.0,12574
2.7745664739884393,48,hard,0.0,0.04804733200881134,12575
2.7745664739884393,48,hard,0.56,0.0,12576
2.7745664739884393,48,hard,1.06,0.0,12577
2.7745664739884393,48,remote,0.0,0.0,12578
2.7745664739884393,48,remote,0.56,0.0,12579
